,,,,,,
,ཀཝ་ kawa kau pillar,,0,,,
,ཀྲེམ་ཟེ་ krem-ze tremze feign diligence,,0,,,
,"ཀྲོག་ krog tro knock, clack, rattle",,0,,,
,ཀླདཔ་ kladpa ’lep brain,,0,,,
,ཀུན་གསལ་ kun-gsal Künsel newspaper,,0,,,
,ཀུཝ་ kû gourd used as a scoop,,0,,,
,ཀུཝ་ kuwa kû gourd used as a scoop,,0,,,
,ཀུཝ་ kuwa kû gourd used as a scoop,,0,,,
,ཀོཝ་ kowa kou leather,,0,,,
,"ཁ་ kha kha mouth, language, sharp",,0,,,
,ཁབ་ khab khap needle,,0,,,
,ཁབ་ཏོག་ khab-tog khapto lid,,0,,,
,ཁམ་ kham kham peach,,0,,,
,ཁཝ་ khawa khau snow,,0,,,
,ཁྱལ་ khyal khä tax,,0,,,
,ཁྱིམ་ khyim chim house,,0,,,
,"ཁྱུ་ khyu chu flock, herd, swarm",,0,,,
,ཁྱོད་ khyod chö you,,0,,,
,ཁྲག་ khrag thrâ blood,,0,,,
,ཁྲུས་ཁང་ khrus-khan̂ thrükha bathroom,,0,,,
,"ཁྲོམ་ཁ་ khrom-kha thromkha bazaar, market",,0,,,
,"ཁུ་བ་ khu-ba khwo gravy, juice",,0,,,
,ཁོ་ kho kho he,,0,,,
,ག་ཅི་ gaci g’aci what,,0,,,
,གངས་རི་ gan̂s-ri g’angri snow-capped mountain,,0,,,
,གཅད་ gcad cê cut,,0,,,
,"གཅིག་ gcig ci, cî one",,0,,,
,གཉིད་ལམ་ gñid-lam nyela dream,,0,,,
,གཉིས་ gñis ’nyî two,,0,,,
,གཉིས་ gñis ’nyî two,,0,,,
,གཉེན་ gñen ’nyen relatives,,0,,,
,"གཏང་ gtan̂ tang send, dispatch",,0,,,
,གདན་ཁེབ་ gdan-kheb den-khep bedspread,,0,,,
,གདོང་ gdon̂ dong face,,0,,,
,གནགཔོ་ gnagpo ’nap black,,0,,,
,གནང་ gnan̂ ’nang give [hon],,0,,,
,གནམ་ gnam ’nam sky,,0,,,
,གནམ་དགུན་ gnam-dgun ’namgün winter,,0,,,
,གནམ་བྱཱ་ gnam-bhḥa ’nambjâ summer,,0,,,
,གཙང་ཏོག་ཏོ་ gtsan̂-tog-to tsangtoto clean,,0,,,
,གཞུ་ gźu zhu bow (archery),,0,,,
,གཞོནམ་ gźonma zhöm young,,0,,,
,གཟི་ gzi zi onyx,,0,,,
,གཟིག་ gzig zî leopard,,0,,,
,གཟུགས་ gzugs zû body,,0,,,
,གཟུང་ནི་ gzun̂-ni zungni to catch,,0,,,
,གཟེདམ་ gzedma zêm bamboo case borne on,,0,,,
,གཟེར་ gzer dzê nail,,0,,,
,གཟེར་ gzer dzê nail,,0,,,
,གཡག་ gyag ’yâ yak,,0,,,
,གཡསཔ་ g.yaspa ’yäp right,,0,,,
,གཡུས་ gyus ’ü village,,0,,,
,གཡེབ་ g.yeb ’yep press,,0,,,
,གཡོན་ gyon ’öng left,,0,,,
,གྱངམ་མས་ gyan̂ma-mas j’âmme It’s cold.,,0,,,
,གྱངས་ཁ་ gyan̂s-kha j’angkha counting,,0,,,
,"གྱལ་ gyal g’ä queue, row, line",,0,,,
,"གྱལ་ gyal g’ä row, queue, line",,0,,,
,གྲང་ནད་ gran̂-nad dr’angne incontinence,,0,,,
,གྲྭ་ཚང་ grwa-tshan̂ dr’atsha Central Monk Body,,0,,,
,གྲུ་ gru dr’u boat,,0,,,
,"གླང་ glan̂ ’lang bull, ox",,0,,,
,གླངམོ་ཆེ་ glan̂mo-che ’lâmche elephant,,0,,,
,གླངམོ་ཆེ་ glan̂mo-che ’lâmche elephant,,0,,,
,གླུ་ glu ’lu song,,0,,,
,གླུ་ glu ’lu song,,0,,,
,གླུད་ glud ’lü dough effigy of a person or,,0,,,
,"གླེན་ལྐུགས་ glen-lkugs ’lenggo stupid, foolish",,0,,,
,གློ་ glo ’lo cough,,0,,,
,གློ་ glo ’lo cough,,0,,,
,གཤོང་ gśon̂ shong valley,,0,,,
,གསརཔ་ gsarpa sâp new,,0,,,
,གསེབ་ gseb sep stallion,,0,,,
,གསེབ་ gseb sep stallion,,0,,,
,གསེབ་ sep stallion,,0,,,
,གསེར་ gser sê gold,,0,,,
,གསེར་ gser sê gold,,0,,,
,གསེར་ gser sê gold,,0,,,
,"གསོབ་ gsob sop pierce, soft",,0,,,
,གཱ་ gḥa g’â who,,0,,,
,གུར་ gur g’û tent,,0,,,
,གུས་ཞབས་ gus-źabs g’üzh’ap respect,,0,,,
,གུས་ཞབས་ gus-źabs g’üzh’ap respect,,0,,,
,གོན་ gon g’ön cucumber,,0,,,
,གོན་ gon g’ön cucumber,,0,,,
,"ང་ n̂a nga I, me",,0,,,
,"ང་ n̂a nga I, me",,0,,,
,"ང་ n̂a nga I, me",,0,,,
,ངག་ n̂ag ngâ speech,,0,,,
,ངག་ n̂ag ngâ speech,,0,,,
,ངནམ་ n̂anma ngem evil,,0,,,
,ངལ་འཚོ་ n̂al-tsho ngätsho resting place for putting,,0,,,
,ངོ་ཤེས་ n̂o-śes ngoshê recognise,,0,,,
,ཆང་ chan̂ chang beer,,0,,,
,ཆང་གི་ཕོའོ་ chang-gi-phoḥo changgi phô brewer’s yeast,,0,,,
,ཆདཔ་ chadpa chep fine,,0,,,
,ཆརཔ་ char-pa châp rain,,0,,,
,ཆརཔ་ charpa châp rain,,0,,,
,ཆུ་ chu chu water,,0,,,
,"ཆུ་ chu chu water, urine",,0,,,
,ཇ་ ja j’a tea,,0,,,
,ཇ་ཆང་ ja-chan̂ j’achang tea and drinks,,0,,,
,ཇོ་བདག་ jo-bdag j’ôda owner,,0,,,
,ཉ་རོགསཔ་ ña-rogspa nyarop fisherman,,0,,,
,ཉམས་མྱོང་ ñams-myon̂ nyamnyong experience,,0,,,
,ཉི་མའི་ལྟོ་ ñi-maḥi-lto nyimaito midday meal,,0,,,
,ཏིང་ tin̂ ting offeratory vessel,,0,,,
,ཐབ་ཤིང་ thab-shin̂ thapshi firewood,,0,,,
,"ཐིའུ་ thiḥu thiu seal, imprint",,0,,,
,དཀྱིས་ dkyis ki don (women’s clothes),,0,,,
